nohup: ignoring input
Not init distributed mode.
Start training
/home/multi-gpu/anaconda3/envs/RT/lib/python3.10/site-packages/torch/_utils.py:776: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
Initial lr:  [5e-05, 5e-05, 5e-05]
Resume checkpoint from ./output/rtdetr_regnet_6x_coco/checkpoint0067.pth
Loading last_epoch
Loading model.state_dict
Loading ema.state_dict
Loading optimizer.state_dict
Loading lr_scheduler.state_dict
loading annotations into memory...
Done (t=7.87s)
creating index...
index created!
loading annotations into memory...
Done (t=0.25s)
creating index...
index created!
number of params: 38516260
Epoch: [68]  [    0/14785]  eta: 6:19:27  lr: 0.000100  loss: 13.9568 (13.9568)  loss_vfl: 0.6038 (0.6038)  loss_bbox: 0.0901 (0.0901)  loss_giou: 0.4275 (0.4275)  loss_vfl_aux_0: 0.7179 (0.7179)  loss_bbox_aux_0: 0.1064 (0.1064)  loss_giou_aux_0: 0.4618 (0.4618)  loss_vfl_aux_1: 0.6427 (0.6427)  loss_bbox_aux_1: 0.0992 (0.0992)  loss_giou_aux_1: 0.4520 (0.4520)  loss_vfl_aux_2: 0.5752 (0.5752)  loss_bbox_aux_2: 0.1133 (0.1133)  loss_giou_aux_2: 0.4500 (0.4500)  loss_vfl_aux_3: 0.6131 (0.6131)  loss_bbox_aux_3: 0.0929 (0.0929)  loss_giou_aux_3: 0.4327 (0.4327)  loss_vfl_aux_4: 0.6150 (0.6150)  loss_bbox_aux_4: 0.0902 (0.0902)  loss_giou_aux_4: 0.4275 (0.4275)  loss_vfl_aux_5: 0.7591 (0.7591)  loss_bbox_aux_5: 0.1382 (0.1382)  loss_giou_aux_5: 0.5179 (0.5179)  loss_vfl_dn_0: 0.4497 (0.4497)  loss_bbox_dn_0: 0.2258 (0.2258)  loss_giou_dn_0: 0.5250 (0.5250)  loss_vfl_dn_1: 0.3801 (0.3801)  loss_bbox_dn_1: 0.1550 (0.1550)  loss_giou_dn_1: 0.4179 (0.4179)  loss_vfl_dn_2: 0.3656 (0.3656)  loss_bbox_dn_2: 0.1170 (0.1170)  loss_giou_dn_2: 0.3809 (0.3809)  loss_vfl_dn_3: 0.3562 (0.3562)  loss_bbox_dn_3: 0.1098 (0.1098)  loss_giou_dn_3: 0.3765 (0.3765)  loss_vfl_dn_4: 0.3512 (0.3512)  loss_bbox_dn_4: 0.1093 (0.1093)  loss_giou_dn_4: 0.3744 (0.3744)  loss_vfl_dn_5: 0.3515 (0.3515)  loss_bbox_dn_5: 0.1093 (0.1093)  loss_giou_dn_5: 0.3748 (0.3748)  time: 1.5399  data: 0.4041  max mem: 10503
Epoch: [68]  [ 9000/14785]  eta: 0:45:13  lr: 0.000100  loss: 15.4116 (15.3187)  loss_vfl: 0.6394 (0.6729)  loss_bbox: 0.1360 (0.1507)  loss_giou: 0.5049 (0.4501)  loss_vfl_aux_0: 0.7287 (0.7659)  loss_bbox_aux_0: 0.1349 (0.1611)  loss_giou_aux_0: 0.5078 (0.4713)  loss_vfl_aux_1: 0.7006 (0.7230)  loss_bbox_aux_1: 0.1404 (0.1547)  loss_giou_aux_1: 0.5135 (0.4589)  loss_vfl_aux_2: 0.6714 (0.7002)  loss_bbox_aux_2: 0.1338 (0.1525)  loss_giou_aux_2: 0.4963 (0.4542)  loss_vfl_aux_3: 0.6488 (0.6862)  loss_bbox_aux_3: 0.1339 (0.1513)  loss_giou_aux_3: 0.5043 (0.4515)  loss_vfl_aux_4: 0.6349 (0.6778)  loss_bbox_aux_4: 0.1392 (0.1506)  loss_giou_aux_4: 0.5051 (0.4501)  loss_vfl_aux_5: 0.7222 (0.7584)  loss_bbox_aux_5: 0.1634 (0.1947)  loss_giou_aux_5: 0.5642 (0.5290)  loss_vfl_dn_0: 0.4433 (0.4445)  loss_bbox_dn_0: 0.2121 (0.2591)  loss_giou_dn_0: 0.5774 (0.5477)  loss_vfl_dn_1: 0.3729 (0.3781)  loss_bbox_dn_1: 0.1453 (0.1891)  loss_giou_dn_1: 0.4715 (0.4397)  loss_vfl_dn_2: 0.3659 (0.3608)  loss_bbox_dn_2: 0.1256 (0.1692)  loss_giou_dn_2: 0.4445 (0.4115)  loss_vfl_dn_3: 0.3531 (0.3543)  loss_bbox_dn_3: 0.1248 (0.1641)  loss_giou_dn_3: 0.4376 (0.4044)  loss_vfl_dn_4: 0.3524 (0.3516)  loss_bbox_dn_4: 0.1224 (0.1623)  loss_giou_dn_4: 0.4359 (0.4018)  loss_vfl_dn_5: 0.3515 (0.3511)  loss_bbox_dn_5: 0.1224 (0.1624)  loss_giou_dn_5: 0.4362 (0.4021)  time: 0.4583  data: 0.0092  max mem: 16873
Epoch: [68]  [ 9100/14785]  eta: 0:44:26  lr: 0.000100  loss: 15.8738 (15.3227)  loss_vfl: 0.6836 (0.6730)  loss_bbox: 0.1291 (0.1507)  loss_giou: 0.4672 (0.4504)  loss_vfl_aux_0: 0.7716 (0.7661)  loss_bbox_aux_0: 0.1353 (0.1611)  loss_giou_aux_0: 0.4724 (0.4716)  loss_vfl_aux_1: 0.7273 (0.7231)  loss_bbox_aux_1: 0.1325 (0.1547)  loss_giou_aux_1: 0.4609 (0.4592)  loss_vfl_aux_2: 0.7276 (0.7004)  loss_bbox_aux_2: 0.1259 (0.1525)  loss_giou_aux_2: 0.4589 (0.4544)  loss_vfl_aux_3: 0.6933 (0.6864)  loss_bbox_aux_3: 0.1292 (0.1513)  loss_giou_aux_3: 0.4596 (0.4517)  loss_vfl_aux_4: 0.6910 (0.6778)  loss_bbox_aux_4: 0.1283 (0.1506)  loss_giou_aux_4: 0.4670 (0.4504)  loss_vfl_aux_5: 0.7639 (0.7584)  loss_bbox_aux_5: 0.1629 (0.1947)  loss_giou_aux_5: 0.5413 (0.5293)  loss_vfl_dn_0: 0.4470 (0.4445)  loss_bbox_dn_0: 0.2341 (0.2591)  loss_giou_dn_0: 0.5570 (0.5479)  loss_vfl_dn_1: 0.3918 (0.3781)  loss_bbox_dn_1: 0.1674 (0.1891)  loss_giou_dn_1: 0.4572 (0.4399)  loss_vfl_dn_2: 0.3708 (0.3608)  loss_bbox_dn_2: 0.1565 (0.1691)  loss_giou_dn_2: 0.4262 (0.4116)  loss_vfl_dn_3: 0.3648 (0.3543)  loss_bbox_dn_3: 0.1571 (0.1641)  loss_giou_dn_3: 0.4312 (0.4046)  loss_vfl_dn_4: 0.3633 (0.3517)  loss_bbox_dn_4: 0.1570 (0.1623)  loss_giou_dn_4: 0.4331 (0.4020)  loss_vfl_dn_5: 0.3616 (0.3511)  loss_bbox_dn_5: 0.1570 (0.1623)  loss_giou_dn_5: 0.4340 (0.4022)  time: 0.4329  data: 0.0089  max mem: 16873
Epoch: [68]  [ 9200/14785]  eta: 0:43:39  lr: 0.000100  loss: 15.2131 (15.3214)  loss_vfl: 0.7388 (0.6733)  loss_bbox: 0.1275 (0.1507)  loss_giou: 0.3787 (0.4500)  loss_vfl_aux_0: 0.8439 (0.7663)  loss_bbox_aux_0: 0.1375 (0.1611)  loss_giou_aux_0: 0.4046 (0.4712)  loss_vfl_aux_1: 0.8137 (0.7234)  loss_bbox_aux_1: 0.1379 (0.1547)  loss_giou_aux_1: 0.3882 (0.4588)  loss_vfl_aux_2: 0.7759 (0.7007)  loss_bbox_aux_2: 0.1287 (0.1524)  loss_giou_aux_2: 0.3925 (0.4541)  loss_vfl_aux_3: 0.7599 (0.6866)  loss_bbox_aux_3: 0.1291 (0.1513)  loss_giou_aux_3: 0.3816 (0.4513)  loss_vfl_aux_4: 0.7445 (0.6781)  loss_bbox_aux_4: 0.1267 (0.1506)  loss_giou_aux_4: 0.3786 (0.4500)  loss_vfl_aux_5: 0.8140 (0.7587)  loss_bbox_aux_5: 0.1835 (0.1947)  loss_giou_aux_5: 0.4483 (0.5289)  loss_vfl_dn_0: 0.4451 (0.4446)  loss_bbox_dn_0: 0.2610 (0.2593)  loss_giou_dn_0: 0.5148 (0.5477)  loss_vfl_dn_1: 0.3764 (0.3781)  loss_bbox_dn_1: 0.2124 (0.1892)  loss_giou_dn_1: 0.4155 (0.4397)  loss_vfl_dn_2: 0.3581 (0.3608)  loss_bbox_dn_2: 0.1802 (0.1692)  loss_giou_dn_2: 0.3851 (0.4114)  loss_vfl_dn_3: 0.3483 (0.3543)  loss_bbox_dn_3: 0.1651 (0.1642)  loss_giou_dn_3: 0.3784 (0.4044)  loss_vfl_dn_4: 0.3457 (0.3516)  loss_bbox_dn_4: 0.1503 (0.1624)  loss_giou_dn_4: 0.3745 (0.4018)  loss_vfl_dn_5: 0.3463 (0.3511)  loss_bbox_dn_5: 0.1503 (0.1624)  loss_giou_dn_5: 0.3747 (0.4021)  time: 0.4766  data: 0.0090  max mem: 16873
Epoch: [68]  [ 9300/14785]  eta: 0:42:53  lr: 0.000100  loss: 14.9643 (15.3225)  loss_vfl: 0.6887 (0.6736)  loss_bbox: 0.1283 (0.1508)  loss_giou: 0.3772 (0.4499)  loss_vfl_aux_0: 0.7604 (0.7667)  loss_bbox_aux_0: 0.1459 (0.1612)  loss_giou_aux_0: 0.3883 (0.4711)  loss_vfl_aux_1: 0.7165 (0.7237)  loss_bbox_aux_1: 0.1411 (0.1548)  loss_giou_aux_1: 0.3786 (0.4586)  loss_vfl_aux_2: 0.6985 (0.7009)  loss_bbox_aux_2: 0.1466 (0.1525)  loss_giou_aux_2: 0.3668 (0.4539)  loss_vfl_aux_3: 0.6889 (0.6870)  loss_bbox_aux_3: 0.1321 (0.1513)  loss_giou_aux_3: 0.3696 (0.4511)  loss_vfl_aux_4: 0.6782 (0.6784)  loss_bbox_aux_4: 0.1282 (0.1506)  loss_giou_aux_4: 0.3780 (0.4498)  loss_vfl_aux_5: 0.7771 (0.7590)  loss_bbox_aux_5: 0.1979 (0.1948)  loss_giou_aux_5: 0.4639 (0.5287)  loss_vfl_dn_0: 0.4471 (0.4446)  loss_bbox_dn_0: 0.2516 (0.2594)  loss_giou_dn_0: 0.5078 (0.5477)  loss_vfl_dn_1: 0.3761 (0.3781)  loss_bbox_dn_1: 0.1770 (0.1893)  loss_giou_dn_1: 0.3975 (0.4396)  loss_vfl_dn_2: 0.3606 (0.3608)  loss_bbox_dn_2: 0.1579 (0.1693)  loss_giou_dn_2: 0.3547 (0.4114)  loss_vfl_dn_3: 0.3576 (0.3543)  loss_bbox_dn_3: 0.1496 (0.1642)  loss_giou_dn_3: 0.3465 (0.4043)  loss_vfl_dn_4: 0.3556 (0.3516)  loss_bbox_dn_4: 0.1471 (0.1625)  loss_giou_dn_4: 0.3469 (0.4017)  loss_vfl_dn_5: 0.3538 (0.3510)  loss_bbox_dn_5: 0.1472 (0.1625)  loss_giou_dn_5: 0.3472 (0.4020)  time: 0.4809  data: 0.0101  max mem: 16873
Epoch: [68]  [ 9400/14785]  eta: 0:42:07  lr: 0.000100  loss: 15.7208 (15.3243)  loss_vfl: 0.6699 (0.6737)  loss_bbox: 0.1595 (0.1508)  loss_giou: 0.4743 (0.4498)  loss_vfl_aux_0: 0.7924 (0.7668)  loss_bbox_aux_0: 0.1545 (0.1613)  loss_giou_aux_0: 0.5117 (0.4710)  loss_vfl_aux_1: 0.7265 (0.7237)  loss_bbox_aux_1: 0.1505 (0.1548)  loss_giou_aux_1: 0.4728 (0.4586)  loss_vfl_aux_2: 0.6913 (0.7010)  loss_bbox_aux_2: 0.1570 (0.1526)  loss_giou_aux_2: 0.4678 (0.4539)  loss_vfl_aux_3: 0.6781 (0.6871)  loss_bbox_aux_3: 0.1604 (0.1514)  loss_giou_aux_3: 0.4605 (0.4511)  loss_vfl_aux_4: 0.6899 (0.6785)  loss_bbox_aux_4: 0.1587 (0.1507)  loss_giou_aux_4: 0.4744 (0.4498)  loss_vfl_aux_5: 0.8093 (0.7592)  loss_bbox_aux_5: 0.1967 (0.1949)  loss_giou_aux_5: 0.5481 (0.5287)  loss_vfl_dn_0: 0.4438 (0.4446)  loss_bbox_dn_0: 0.2291 (0.2596)  loss_giou_dn_0: 0.5742 (0.5477)  loss_vfl_dn_1: 0.3852 (0.3781)  loss_bbox_dn_1: 0.1638 (0.1894)  loss_giou_dn_1: 0.4561 (0.4397)  loss_vfl_dn_2: 0.3740 (0.3608)  loss_bbox_dn_2: 0.1535 (0.1694)  loss_giou_dn_2: 0.4220 (0.4114)  loss_vfl_dn_3: 0.3643 (0.3543)  loss_bbox_dn_3: 0.1524 (0.1643)  loss_giou_dn_3: 0.4141 (0.4043)  loss_vfl_dn_4: 0.3635 (0.3516)  loss_bbox_dn_4: 0.1510 (0.1625)  loss_giou_dn_4: 0.4098 (0.4017)  loss_vfl_dn_5: 0.3622 (0.3510)  loss_bbox_dn_5: 0.1511 (0.1626)  loss_giou_dn_5: 0.4101 (0.4020)  time: 0.5397  data: 0.0098  max mem: 16873
Epoch: [68]  [ 9500/14785]  eta: 0:41:21  lr: 0.000100  loss: 14.1614 (15.3259)  loss_vfl: 0.6408 (0.6740)  loss_bbox: 0.1291 (0.1509)  loss_giou: 0.3962 (0.4497)  loss_vfl_aux_0: 0.7329 (0.7669)  loss_bbox_aux_0: 0.1337 (0.1613)  loss_giou_aux_0: 0.4007 (0.4710)  loss_vfl_aux_1: 0.6873 (0.7239)  loss_bbox_aux_1: 0.1352 (0.1549)  loss_giou_aux_1: 0.4003 (0.4585)  loss_vfl_aux_2: 0.6908 (0.7012)  loss_bbox_aux_2: 0.1301 (0.1526)  loss_giou_aux_2: 0.3856 (0.4538)  loss_vfl_aux_3: 0.6637 (0.6874)  loss_bbox_aux_3: 0.1284 (0.1514)  loss_giou_aux_3: 0.3978 (0.4510)  loss_vfl_aux_4: 0.6511 (0.6788)  loss_bbox_aux_4: 0.1280 (0.1507)  loss_giou_aux_4: 0.3959 (0.4497)  loss_vfl_aux_5: 0.7254 (0.7593)  loss_bbox_aux_5: 0.1589 (0.1950)  loss_giou_aux_5: 0.4813 (0.5286)  loss_vfl_dn_0: 0.4422 (0.4446)  loss_bbox_dn_0: 0.2223 (0.2596)  loss_giou_dn_0: 0.5108 (0.5477)  loss_vfl_dn_1: 0.3841 (0.3781)  loss_bbox_dn_1: 0.1456 (0.1895)  loss_giou_dn_1: 0.4012 (0.4396)  loss_vfl_dn_2: 0.3644 (0.3608)  loss_bbox_dn_2: 0.1313 (0.1694)  loss_giou_dn_2: 0.3738 (0.4114)  loss_vfl_dn_3: 0.3556 (0.3544)  loss_bbox_dn_3: 0.1254 (0.1643)  loss_giou_dn_3: 0.3704 (0.4043)  loss_vfl_dn_4: 0.3524 (0.3517)  loss_bbox_dn_4: 0.1220 (0.1626)  loss_giou_dn_4: 0.3702 (0.4017)  loss_vfl_dn_5: 0.3533 (0.3511)  loss_bbox_dn_5: 0.1221 (0.1626)  loss_giou_dn_5: 0.3708 (0.4019)  time: 0.4660  data: 0.0095  max mem: 16873
Epoch: [68]  [ 9600/14785]  eta: 0:40:35  lr: 0.000100  loss: 15.1199 (15.3267)  loss_vfl: 0.7110 (0.6741)  loss_bbox: 0.1338 (0.1509)  loss_giou: 0.4217 (0.4497)  loss_vfl_aux_0: 0.7616 (0.7671)  loss_bbox_aux_0: 0.1395 (0.1613)  loss_giou_aux_0: 0.4419 (0.4710)  loss_vfl_aux_1: 0.7181 (0.7240)  loss_bbox_aux_1: 0.1361 (0.1549)  loss_giou_aux_1: 0.4325 (0.4586)  loss_vfl_aux_2: 0.7111 (0.7013)  loss_bbox_aux_2: 0.1362 (0.1526)  loss_giou_aux_2: 0.4343 (0.4538)  loss_vfl_aux_3: 0.6825 (0.6876)  loss_bbox_aux_3: 0.1392 (0.1514)  loss_giou_aux_3: 0.4341 (0.4510)  loss_vfl_aux_4: 0.7158 (0.6790)  loss_bbox_aux_4: 0.1369 (0.1507)  loss_giou_aux_4: 0.4223 (0.4497)  loss_vfl_aux_5: 0.7363 (0.7593)  loss_bbox_aux_5: 0.1686 (0.1950)  loss_giou_aux_5: 0.5249 (0.5287)  loss_vfl_dn_0: 0.4351 (0.4446)  loss_bbox_dn_0: 0.2044 (0.2596)  loss_giou_dn_0: 0.5328 (0.5477)  loss_vfl_dn_1: 0.3778 (0.3781)  loss_bbox_dn_1: 0.1483 (0.1894)  loss_giou_dn_1: 0.4300 (0.4397)  loss_vfl_dn_2: 0.3647 (0.3608)  loss_bbox_dn_2: 0.1340 (0.1694)  loss_giou_dn_2: 0.3967 (0.4114)  loss_vfl_dn_3: 0.3540 (0.3544)  loss_bbox_dn_3: 0.1260 (0.1643)  loss_giou_dn_3: 0.3863 (0.4043)  loss_vfl_dn_4: 0.3495 (0.3517)  loss_bbox_dn_4: 0.1251 (0.1625)  loss_giou_dn_4: 0.3862 (0.4017)  loss_vfl_dn_5: 0.3497 (0.3511)  loss_bbox_dn_5: 0.1252 (0.1626)  loss_giou_dn_5: 0.3863 (0.4019)  time: 0.4827  data: 0.0098  max mem: 16873
Epoch: [68]  [ 9700/14785]  eta: 0:39:49  lr: 0.000100  loss: 15.8366 (15.3229)  loss_vfl: 0.6445 (0.6741)  loss_bbox: 0.1429 (0.1508)  loss_giou: 0.4585 (0.4495)  loss_vfl_aux_0: 0.7167 (0.7670)  loss_bbox_aux_0: 0.1410 (0.1613)  loss_giou_aux_0: 0.4835 (0.4708)  loss_vfl_aux_1: 0.6998 (0.7238)  loss_bbox_aux_1: 0.1435 (0.1548)  loss_giou_aux_1: 0.4698 (0.4584)  loss_vfl_aux_2: 0.6632 (0.7013)  loss_bbox_aux_2: 0.1397 (0.1526)  loss_giou_aux_2: 0.4575 (0.4536)  loss_vfl_aux_3: 0.6730 (0.6875)  loss_bbox_aux_3: 0.1389 (0.1514)  loss_giou_aux_3: 0.4652 (0.4508)  loss_vfl_aux_4: 0.6606 (0.6789)  loss_bbox_aux_4: 0.1385 (0.1507)  loss_giou_aux_4: 0.4650 (0.4495)  loss_vfl_aux_5: 0.7460 (0.7594)  loss_bbox_aux_5: 0.1848 (0.1949)  loss_giou_aux_5: 0.5315 (0.5285)  loss_vfl_dn_0: 0.4501 (0.4446)  loss_bbox_dn_0: 0.2386 (0.2595)  loss_giou_dn_0: 0.5472 (0.5475)  loss_vfl_dn_1: 0.3775 (0.3781)  loss_bbox_dn_1: 0.1761 (0.1894)  loss_giou_dn_1: 0.4506 (0.4395)  loss_vfl_dn_2: 0.3605 (0.3608)  loss_bbox_dn_2: 0.1581 (0.1693)  loss_giou_dn_2: 0.4354 (0.4112)  loss_vfl_dn_3: 0.3554 (0.3543)  loss_bbox_dn_3: 0.1464 (0.1643)  loss_giou_dn_3: 0.4271 (0.4041)  loss_vfl_dn_4: 0.3539 (0.3517)  loss_bbox_dn_4: 0.1465 (0.1625)  loss_giou_dn_4: 0.4247 (0.4015)  loss_vfl_dn_5: 0.3530 (0.3511)  loss_bbox_dn_5: 0.1466 (0.1625)  loss_giou_dn_5: 0.4248 (0.4018)  time: 0.4661  data: 0.0093  max mem: 16873
Epoch: [68]  [ 9800/14785]  eta: 0:39:01  lr: 0.000100  loss: 14.9919 (15.3216)  loss_vfl: 0.6682 (0.6740)  loss_bbox: 0.1504 (0.1509)  loss_giou: 0.4600 (0.4495)  loss_vfl_aux_0: 0.7120 (0.7669)  loss_bbox_aux_0: 0.1521 (0.1613)  loss_giou_aux_0: 0.4885 (0.4707)  loss_vfl_aux_1: 0.7082 (0.7239)  loss_bbox_aux_1: 0.1441 (0.1548)  loss_giou_aux_1: 0.4754 (0.4583)  loss_vfl_aux_2: 0.6762 (0.7012)  loss_bbox_aux_2: 0.1497 (0.1526)  loss_giou_aux_2: 0.4640 (0.4535)  loss_vfl_aux_3: 0.6554 (0.6874)  loss_bbox_aux_3: 0.1510 (0.1514)  loss_giou_aux_3: 0.4610 (0.4507)  loss_vfl_aux_4: 0.6478 (0.6788)  loss_bbox_aux_4: 0.1504 (0.1507)  loss_giou_aux_4: 0.4601 (0.4494)  loss_vfl_aux_5: 0.7032 (0.7594)  loss_bbox_aux_5: 0.1877 (0.1950)  loss_giou_aux_5: 0.5473 (0.5285)  loss_vfl_dn_0: 0.4384 (0.4446)  loss_bbox_dn_0: 0.2427 (0.2595)  loss_giou_dn_0: 0.5615 (0.5474)  loss_vfl_dn_1: 0.3754 (0.3781)  loss_bbox_dn_1: 0.1718 (0.1893)  loss_giou_dn_1: 0.4411 (0.4394)  loss_vfl_dn_2: 0.3659 (0.3608)  loss_bbox_dn_2: 0.1478 (0.1693)  loss_giou_dn_2: 0.4100 (0.4111)  loss_vfl_dn_3: 0.3574 (0.3543)  loss_bbox_dn_3: 0.1438 (0.1642)  loss_giou_dn_3: 0.4115 (0.4040)  loss_vfl_dn_4: 0.3577 (0.3516)  loss_bbox_dn_4: 0.1343 (0.1624)  loss_giou_dn_4: 0.4070 (0.4014)  loss_vfl_dn_5: 0.3566 (0.3511)  loss_bbox_dn_5: 0.1343 (0.1624)  loss_giou_dn_5: 0.4072 (0.4016)  time: 0.4161  data: 0.0093  max mem: 16873
Epoch: [68]  [ 9900/14785]  eta: 0:38:14  lr: 0.000100  loss: 14.5283 (15.3238)  loss_vfl: 0.6498 (0.6740)  loss_bbox: 0.1740 (0.1510)  loss_giou: 0.3805 (0.4495)  loss_vfl_aux_0: 0.7350 (0.7670)  loss_bbox_aux_0: 0.1778 (0.1614)  loss_giou_aux_0: 0.3859 (0.4707)  loss_vfl_aux_1: 0.7153 (0.7239)  loss_bbox_aux_1: 0.1776 (0.1549)  loss_giou_aux_1: 0.3785 (0.4583)  loss_vfl_aux_2: 0.6707 (0.7012)  loss_bbox_aux_2: 0.1802 (0.1527)  loss_giou_aux_2: 0.3731 (0.4535)  loss_vfl_aux_3: 0.6724 (0.6874)  loss_bbox_aux_3: 0.1800 (0.1516)  loss_giou_aux_3: 0.3827 (0.4508)  loss_vfl_aux_4: 0.6621 (0.6788)  loss_bbox_aux_4: 0.1842 (0.1508)  loss_giou_aux_4: 0.3829 (0.4495)  loss_vfl_aux_5: 0.7863 (0.7595)  loss_bbox_aux_5: 0.2151 (0.1951)  loss_giou_aux_5: 0.4473 (0.5284)  loss_vfl_dn_0: 0.4381 (0.4446)  loss_bbox_dn_0: 0.2826 (0.2596)  loss_giou_dn_0: 0.5107 (0.5475)  loss_vfl_dn_1: 0.3674 (0.3781)  loss_bbox_dn_1: 0.2214 (0.1895)  loss_giou_dn_1: 0.4051 (0.4394)  loss_vfl_dn_2: 0.3509 (0.3608)  loss_bbox_dn_2: 0.1995 (0.1694)  loss_giou_dn_2: 0.3840 (0.4111)  loss_vfl_dn_3: 0.3482 (0.3543)  loss_bbox_dn_3: 0.1922 (0.1643)  loss_giou_dn_3: 0.3801 (0.4040)  loss_vfl_dn_4: 0.3443 (0.3517)  loss_bbox_dn_4: 0.1920 (0.1626)  loss_giou_dn_4: 0.3788 (0.4014)  loss_vfl_dn_5: 0.3457 (0.3511)  loss_bbox_dn_5: 0.1920 (0.1626)  loss_giou_dn_5: 0.3792 (0.4017)  time: 0.4475  data: 0.0089  max mem: 16873
Epoch: [68]  [10000/14785]  eta: 0:37:27  lr: 0.000100  loss: 15.2424 (15.3216)  loss_vfl: 0.6322 (0.6738)  loss_bbox: 0.1544 (0.1509)  loss_giou: 0.4733 (0.4495)  loss_vfl_aux_0: 0.6953 (0.7667)  loss_bbox_aux_0: 0.1663 (0.1614)  loss_giou_aux_0: 0.4863 (0.4707)  loss_vfl_aux_1: 0.6792 (0.7237)  loss_bbox_aux_1: 0.1624 (0.1549)  loss_giou_aux_1: 0.4663 (0.4583)  loss_vfl_aux_2: 0.6564 (0.7010)  loss_bbox_aux_2: 0.1532 (0.1527)  loss_giou_aux_2: 0.4622 (0.4535)  loss_vfl_aux_3: 0.6556 (0.6872)  loss_bbox_aux_3: 0.1506 (0.1515)  loss_giou_aux_3: 0.4577 (0.4508)  loss_vfl_aux_4: 0.6403 (0.6786)  loss_bbox_aux_4: 0.1544 (0.1508)  loss_giou_aux_4: 0.4732 (0.4495)  loss_vfl_aux_5: 0.6999 (0.7594)  loss_bbox_aux_5: 0.1846 (0.1950)  loss_giou_aux_5: 0.5561 (0.5285)  loss_vfl_dn_0: 0.4389 (0.4446)  loss_bbox_dn_0: 0.2272 (0.2595)  loss_giou_dn_0: 0.5534 (0.5474)  loss_vfl_dn_1: 0.3745 (0.3780)  loss_bbox_dn_1: 0.1644 (0.1895)  loss_giou_dn_1: 0.4336 (0.4394)  loss_vfl_dn_2: 0.3616 (0.3608)  loss_bbox_dn_2: 0.1551 (0.1694)  loss_giou_dn_2: 0.3995 (0.4111)  loss_vfl_dn_3: 0.3508 (0.3543)  loss_bbox_dn_3: 0.1473 (0.1643)  loss_giou_dn_3: 0.3946 (0.4040)  loss_vfl_dn_4: 0.3503 (0.3516)  loss_bbox_dn_4: 0.1461 (0.1625)  loss_giou_dn_4: 0.3909 (0.4014)  loss_vfl_dn_5: 0.3496 (0.3510)  loss_bbox_dn_5: 0.1461 (0.1626)  loss_giou_dn_5: 0.3909 (0.4017)  time: 0.4744  data: 0.0095  max mem: 16873
Epoch: [68]  [10100/14785]  eta: 0:36:41  lr: 0.000100  loss: 14.5591 (15.3258)  loss_vfl: 0.6657 (0.6741)  loss_bbox: 0.1448 (0.1510)  loss_giou: 0.3768 (0.4496)  loss_vfl_aux_0: 0.7617 (0.7669)  loss_bbox_aux_0: 0.1588 (0.1615)  loss_giou_aux_0: 0.4134 (0.4708)  loss_vfl_aux_1: 0.7020 (0.7239)  loss_bbox_aux_1: 0.1445 (0.1550)  loss_giou_aux_1: 0.4009 (0.4584)  loss_vfl_aux_2: 0.6866 (0.7013)  loss_bbox_aux_2: 0.1433 (0.1528)  loss_giou_aux_2: 0.3837 (0.4536)  loss_vfl_aux_3: 0.6757 (0.6875)  loss_bbox_aux_3: 0.1442 (0.1516)  loss_giou_aux_3: 0.3811 (0.4509)  loss_vfl_aux_4: 0.6688 (0.6789)  loss_bbox_aux_4: 0.1448 (0.1509)  loss_giou_aux_4: 0.3770 (0.4496)  loss_vfl_aux_5: 0.7323 (0.7595)  loss_bbox_aux_5: 0.1988 (0.1951)  loss_giou_aux_5: 0.4679 (0.5286)  loss_vfl_dn_0: 0.4347 (0.4446)  loss_bbox_dn_0: 0.2063 (0.2596)  loss_giou_dn_0: 0.5087 (0.5475)  loss_vfl_dn_1: 0.3755 (0.3781)  loss_bbox_dn_1: 0.1648 (0.1896)  loss_giou_dn_1: 0.4146 (0.4394)  loss_vfl_dn_2: 0.3646 (0.3608)  loss_bbox_dn_2: 0.1448 (0.1695)  loss_giou_dn_2: 0.3717 (0.4112)  loss_vfl_dn_3: 0.3545 (0.3544)  loss_bbox_dn_3: 0.1422 (0.1644)  loss_giou_dn_3: 0.3649 (0.4041)  loss_vfl_dn_4: 0.3550 (0.3517)  loss_bbox_dn_4: 0.1410 (0.1626)  loss_giou_dn_4: 0.3591 (0.4015)  loss_vfl_dn_5: 0.3549 (0.3511)  loss_bbox_dn_5: 0.1411 (0.1627)  loss_giou_dn_5: 0.3592 (0.4018)  time: 0.4833  data: 0.0093  max mem: 16873
